-0.663	-0.225	0.438	0.444	-0.55	0.106	-0.08	-0.106	0.022	-0.323	-0.135	-0.197
-0.647	-0.224	0.423	0.436	-0.535	0.1	-0.081	-0.109	0.021	-0.323	-0.14	-0.198
-0.666	-0.235	0.432	0.451	-0.549	0.099	-0.077	-0.105	0.025	-0.321	-0.135	-0.192
-0.683	-0.24	0.443	0.462	-0.563	0.102	-0.075	-0.105	0.026	-0.317	-0.129	-0.185
-0.674	-0.234	0.44	0.454	-0.557	0.103	-0.076	-0.107	0.027	-0.319	-0.134	-0.193
-0.654	-0.236	0.418	0.446	-0.536	0.091	-0.082	-0.112	0.021	-0.326	-0.141	-0.199
-0.658	-0.242	0.416	0.45	-0.537	0.086	-0.083	-0.113	0.019	-0.326	-0.142	-0.198
-0.646	-0.24	0.406	0.443	-0.526	0.083	-0.081	-0.112	0.021	-0.324	-0.142	-0.199
-0.632	-0.235	0.398	0.434	-0.515	0.081	-0.079	-0.109	0.025	-0.319	-0.139	-0.195
-0.651	-0.238	0.413	0.445	-0.532	0.087	-0.07	-0.101	0.035	-0.307	-0.129	-0.186
-0.65	-0.237	0.412	0.444	-0.531	0.087	-0.068	-0.102	0.033	-0.31	-0.131	-0.189
-0.646	-0.235	0.41	0.441	-0.528	0.087	-0.072	-0.102	0.03	-0.315	-0.135	-0.19
-0.659	-0.242	0.416	0.451	-0.537	0.087	-0.071	-0.096	0.035	-0.31	-0.13	-0.186
-0.665	-0.248	0.416	0.457	-0.541	0.084	-0.074	-0.098	0.037	-0.31	-0.129	-0.186
-0.668	-0.248	0.419	0.458	-0.543	0.086	-0.074	-0.107	0.032	-0.315	-0.131	-0.186
-0.673	-0.252	0.421	0.463	-0.547	0.085	-0.069	-0.107	0.033	-0.317	-0.132	-0.188
-0.676	-0.261	0.416	0.468	-0.546	0.078	-0.068	-0.1	0.041	-0.311	-0.13	-0.187
-0.675	-0.255	0.42	0.465	-0.548	0.083	-0.069	-0.103	0.037	-0.316	-0.132	-0.19
-0.669	-0.243	0.425	0.456	-0.547	0.091	-0.071	-0.106	0.033	-0.322	-0.139	-0.194
-0.671	-0.245	0.425	0.458	-0.548	0.09	-0.07	-0.103	0.035	-0.32	-0.136	-0.193
-0.681	-0.251	0.431	0.466	-0.556	0.09	-0.067	-0.104	0.033	-0.322	-0.136	-0.194
-0.689	-0.257	0.431	0.473	-0.56	0.087	-0.069	-0.11	0.029	-0.326	-0.14	-0.199
-0.699	-0.265	0.433	0.481	-0.566	0.084	-0.069	-0.11	0.031	-0.322	-0.138	-0.196
-0.699	-0.261	0.438	0.479	-0.569	0.089	-0.064	-0.108	0.033	-0.321	-0.135	-0.191
-0.696	-0.259	0.437	0.477	-0.567	0.089	-0.06	-0.106	0.035	-0.325	-0.134	-0.19
-0.702	-0.257	0.445	0.479	-0.573	0.094	-0.064	-0.11	0.035	-0.325	-0.134	-0.191
-0.69	-0.247	0.443	0.469	-0.567	0.098	-0.07	-0.112	0.031	-0.327	-0.136	-0.192
-0.681	-0.248	0.433	0.465	-0.557	0.092	-0.068	-0.105	0.034	-0.325	-0.134	-0.189
-0.689	-0.254	0.435	0.471	-0.562	0.091	-0.065	-0.106	0.036	-0.323	-0.134	-0.19
-0.695	-0.264	0.431	0.479	-0.563	0.084	-0.07	-0.112	0.029	-0.33	-0.141	-0.196
-0.699	-0.268	0.431	0.483	-0.565	0.082	-0.071	-0.113	0.026	-0.329	-0.142	-0.197
-0.696	-0.267	0.429	0.481	-0.563	0.082	-0.073	-0.111	0.029	-0.325	-0.141	-0.195
-0.678	-0.256	0.423	0.467	-0.551	0.084	-0.076	-0.109	0.032	-0.325	-0.14	-0.194
-0.658	-0.233	0.425	0.446	-0.541	0.096	-0.07	-0.102	0.041	-0.315	-0.131	-0.185
-0.655	-0.228	0.427	0.442	-0.541	0.1	-0.072	-0.099	0.044	-0.311	-0.126	-0.179
-0.662	-0.227	0.435	0.445	-0.548	0.104	-0.07	-0.094	0.046	-0.311	-0.127	-0.181
-0.663	-0.229	0.434	0.446	-0.548	0.103	-0.068	-0.092	0.046	-0.312	-0.127	-0.181
-0.668	-0.225	0.443	0.447	-0.555	0.109	-0.07	-0.098	0.043	-0.314	-0.127	-0.18
-0.688	-0.217	0.47	0.453	-0.579	0.127	-0.068	-0.093	0.049	-0.306	-0.121	-0.176
-0.677	-0.218	0.459	0.448	-0.568	0.12	-0.073	-0.096	0.046	-0.309	-0.124	-0.178
-0.658	-0.212	0.446	0.435	-0.552	0.117	-0.081	-0.1	0.043	-0.311	-0.127	-0.18
-0.666	-0.215	0.452	0.441	-0.559	0.118	-0.082	-0.098	0.044	-0.31	-0.125	-0.179
-0.674	-0.225	0.45	0.45	-0.562	0.113	-0.08	-0.097	0.045	-0.307	-0.121	-0.177
-0.666	-0.223	0.444	0.445	-0.555	0.11	-0.083	-0.097	0.045	-0.304	-0.12	-0.177
-0.656	-0.218	0.438	0.437	-0.546	0.11	-0.085	-0.095	0.048	-0.308	-0.123	-0.178
-0.657	-0.218	0.44	0.438	-0.548	0.111	-0.087	-0.095	0.046	-0.309	-0.125	-0.178
-0.653	-0.218	0.435	0.436	-0.544	0.108	-0.091	-0.099	0.043	-0.309	-0.126	-0.177
-0.649	-0.223	0.426	0.436	-0.538	0.102	-0.091	-0.095	0.044	-0.306	-0.122	-0.176
-0.651	-0.229	0.422	0.44	-0.537	0.097	-0.091	-0.094	0.046	-0.305	-0.122	-0.176
-0.655	-0.23	0.426	0.443	-0.54	0.098	-0.09	-0.092	0.048	-0.302	-0.12	-0.174
-0.656	-0.232	0.424	0.444	-0.54	0.096	-0.09	-0.087	0.051	-0.298	-0.116	-0.171
-0.657	-0.229	0.428	0.443	-0.543	0.1	-0.09	-0.084	0.058	-0.295	-0.111	-0.168
-0.65	-0.228	0.422	0.439	-0.536	0.098	-0.099	-0.088	0.052	-0.299	-0.116	-0.172
-0.647	-0.228	0.419	0.438	-0.533	0.096	-0.102	-0.09	0.05	-0.3	-0.117	-0.173
-0.667	-0.223	0.445	0.445	-0.556	0.111	-0.099	-0.082	0.06	-0.291	-0.11	-0.165
-0.664	-0.225	0.439	0.445	-0.551	0.107	-0.101	-0.084	0.058	-0.293	-0.11	-0.165
-0.646	-0.229	0.417	0.438	-0.531	0.094	-0.107	-0.088	0.054	-0.298	-0.113	-0.169
-0.639	-0.22	0.419	0.429	-0.529	0.1	-0.114	-0.088	0.056	-0.295	-0.112	-0.168
-0.639	-0.213	0.425	0.426	-0.532	0.106	-0.116	-0.09	0.056	-0.297	-0.111	-0.168
-0.639	-0.213	0.425	0.426	-0.532	0.106	-0.118	-0.089	0.056	-0.297	-0.111	-0.165
-0.639	-0.213	0.425	0.426	-0.532	0.106	-0.119	-0.087	0.059	-0.294	-0.108	-0.164
-0.639	-0.21	0.428	0.425	-0.534	0.109	-0.122	-0.088	0.054	-0.299	-0.113	-0.167
-0.637	-0.209	0.427	0.423	-0.532	0.109	-0.123	-0.086	0.057	-0.295	-0.108	-0.162
